DOW;AUT;ACH;SOI;IDN5;NM5;IDN4;NM4;IDN3;NM3;IDN2;NM2;VYMERA;NUTS1;NUTS1_CODE;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810304;Demänovská Dolina;510386;Demänovská Dolina;505;Liptovský Mikuláš;5;Žilinský;47848325;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Liptovský Mikuláš;SK0315;Demänovská Dolina;SK0315510386
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810347;Demjata;524336;Demjata;707;Prešov;7;Prešovský;11496315;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Prešov;SK0417;Demjata;SK0417524336
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810355;Detrík;544167;Detrík;713;Vranov nad Topľou;7;Prešovský;9528485;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Vranov nad Topľou;SK041D;Detrík;SK041D544167
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810363;Detva;518263;Detva;604;Detva;6;Banskobystrický;68088032;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Detva;SK0324;Detva;SK0324518263
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810550;Detvianska Huta;518271;Detvianska Huta;604;Detva;6;Banskobystrický;14312780;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Detva;SK0324;Detvianska Huta;SK0324518271
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810606;Dolné Devičany;502162;Devičany;402;Levice;4;Nitriansky;20007748;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Levice;SK0232;Devičany;SK0232502162
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810614;Horné Devičany;502162;Devičany;402;Levice;4;Nitriansky;9867691;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Levice;SK0232;Devičany;SK0232502162
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810622;Devičie;518280;Devičie;605;Krupina;6;Banskobystrický;14065929;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Krupina;SK0325;Devičie;SK0325518280
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810649;Devínska Nová Ves;529371;Bratislava-Devínska Nová Ves;104;Bratislava IV;1;Bratislavský;24217253;Slovensko;SK0;Bratislavský kraj;SK01;Bratislavský kraj;SK010;Bratislava IV;SK0104;Bratislava-Devínska Nová Ves;SK0104529371
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810673;Dežerice;542822;Dežerice;301;Bánovce nad Bebravou;3;Trenčiansky;9468716;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Bánovce nad Bebravou;SK0221;Dežerice;SK0221542822
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810681;Vlčkovo;542822;Dežerice;301;Bánovce nad Bebravou;3;Trenčiansky;3567349;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Bánovce nad Bebravou;SK0221;Dežerice;SK0221542822
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810690;Diaková;512168;Diaková;506;Martin;5;Žilinský;2420560;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Martin;SK0316;Diaková;SK0316512168
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810703;Diakovce;503711;Diakovce;405;Šaľa;4;Nitriansky;26279985;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Šaľa;SK0235;Diakovce;SK0235503711
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810711;Diva;503576;Šarkan;404;Nové Zámky;4;Nitriansky;4979551;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nové Zámky;SK0234;Šarkan;SK0234503576
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810720;Diviacka Nová Ves;513954;Diviacka Nová Ves;307;Prievidza;3;Trenčiansky;9979774;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Prievidza;SK0227;Diviacka Nová Ves;SK0227513954
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810738;Vrbany;513954;Diviacka Nová Ves;307;Prievidza;3;Trenčiansky;3389622;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Prievidza;SK0227;Diviacka Nová Ves;SK0227513954
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810746;Diviaky;512729;Turčianske Teplice;509;Turčianske Teplice;5;Žilinský;8715904;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Turčianske Teplice;SK0319;Turčianske Teplice;SK0319512729
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810762;Diviaky nad Nitricou;513962;Diviaky nad Nitricou;307;Prievidza;3;Trenčiansky;11115371;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Prievidza;SK0227;Diviaky nad Nitricou;SK0227513962
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810789;Divín;511358;Divín;606;Lučenec;6;Banskobystrický;23925365;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Lučenec;SK0326;Divín;SK0326511358
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810835;Divina;517488;Divina;511;Žilina;5;Žilinský;21881052;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Žilina;SK031B;Divina;SK031B517488
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810851;Divinka;517496;Divinka;511;Žilina;5;Žilinský;5174318;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Žilina;SK031B;Divinka;SK031B517496
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810878;Dlhá;556599;Dlhá;207;Trnava;2;Trnavský;11806660;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Trnava;SK0217;Dlhá;SK0217556599
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810886;Dlhá Lúka;519006;Bardejov;701;Bardejov;7;Prešovský;9024115;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Bardejov;SK0411519006
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810908;Dlhá nad Kysucou;509167;Dlhá nad Kysucou;502;Čadca;5;Žilinský;12259445;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Čadca;SK0312;Dlhá nad Kysucou;SK0312509167
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;810991;Dlhá nad Oravou;509639;Dlhá nad Oravou;503;Dolný Kubín;5;Žilinský;24310531;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Dolný Kubín;SK0313;Dlhá nad Oravou;SK0313509639
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811009;Dlhá nad Váhom;503720;Dlhá nad Váhom;405;Šaľa;4;Nitriansky;9069952;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Šaľa;SK0235;Dlhá nad Váhom;SK0235503720
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811017;Dlhá Ves;525626;Dlhá Ves;808;Rožňava;8;Košický;10748295;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Rožňava;SK0428;Dlhá Ves;SK0428525626
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811025;Dlhé Klčovo;544175;Dlhé Klčovo;713;Vranov nad Topľou;7;Prešovský;10340880;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Vranov nad Topľou;SK041D;Dlhé Klčovo;SK041D544175
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811033;Dlhé nad Cirochou;520161;Dlhé nad Cirochou;709;Snina;7;Prešovský;26301042;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Snina;SK0419;Dlhé nad Cirochou;SK0419520161
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811041;Dlhé Pole;517500;Dlhé Pole;511;Žilina;5;Žilinský;41025444;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Žilina;SK031B;Dlhé Pole;SK031B517500
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811149;Dlhé Stráže;526452;Dlhé Stráže;704;Levoča;7;Prešovský;3374091;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Levoča;SK0414;Dlhé Stráže;SK0414526452
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811157;Dlhoňa;527238;Dlhoňa;712;Svidník;7;Prešovský;8846896;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Svidník;SK041C;Dlhoňa;SK041C527238
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811165;Dlžín;513971;Dlžín;307;Prievidza;3;Trenčiansky;6653158;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Prievidza;SK0227;Dlžín;SK0227513971
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811173;Dobrá;506559;Trenčianska Teplá;309;Trenčín;3;Trenčiansky;5317864;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Trenčín;SK0229;Trenčianska Teplá;SK0229506559
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811181;Dobrá;528323;Dobrá;811;Trebišov;8;Košický;8322391;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Trebišov;SK042B;Dobrá;SK042B528323
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811190;Dobrá Niva;518298;Dobrá Niva;611;Zvolen;6;Banskobystrický;52511190;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Zvolen;SK032B;Dobrá Niva;SK032B518298
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811220;Dobrá Voda;506915;Dobrá Voda;207;Trnava;2;Trnavský;32977457;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Trnava;SK0217;Dobrá Voda;SK0217506915
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811254;Dobroč;511366;Dobroč;606;Lučenec;6;Banskobystrický;18866852;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Lučenec;SK0326;Dobroč;SK0326511366
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811301;Kotmanová;511374;Kotmanová;606;Lučenec;6;Banskobystrický;16787860;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Lučenec;SK0326;Kotmanová;SK0326511374
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811343;Dobrohošť;501549;Dobrohošť;201;Dunajská Streda;2;Trnavský;4703846;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Dunajská Streda;SK0211;Dobrohošť;SK0211501549
