DOW;AUT;ACH;SOI;IDN5;NM5;IDN4;NM4;IDN3;NM3;IDN2;NM2;VYMERA;NUTS1;NUTS1_CODE;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800015;Ábelová;511226;Ábelová;606;Lučenec;6;Banskobystrický;26313009;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Lučenec;SK0326;Ábelová;SK0326511226
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800040;Abovce;557757;Abovce;609;Rimavská Sobota;6;Banskobystrický;8199569;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329;Abovce;SK0329557757
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800058;Abrahám;503673;Abrahám;202;Galanta;2;Trnavský;15779514;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Galanta;SK0212;Abrahám;SK0212503673
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800066;Abrahámovce;519014;Abrahámovce;701;Bardejov;7;Prešovský;5899305;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Abrahámovce;SK0411519014
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800074;Abrahámovce;523399;Abrahámovce;703;Kežmarok;7;Prešovský;6653165;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Kežmarok;SK0413;Abrahámovce;SK0413523399
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800091;Abramová;512044;Abramová;509;Turčianske Teplice;5;Žilinský;7203569;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Turčianske Teplice;SK0319;Abramová;SK0319512044
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800112;Abranovce;524158;Abranovce;707;Prešov;7;Prešovský;9583406;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Prešov;SK0417;Abranovce;SK0417524158
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800121;Adamovské Kochanovce;505838;Adamovské Kochanovce;309;Trenčín;3;Trenčiansky;9662581;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Trenčín;SK0229;Adamovské Kochanovce;SK0229505838
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800155;Adidovce;520012;Adidovce;702;Humenné;7;Prešovský;20765157;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Humenné;SK0412;Adidovce;SK0412520012
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800163;Alekšince;500020;Alekšince;403;Nitra;4;Nitriansky;15072464;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Alekšince;SK0233500020
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800180;Andač;500950;Zbehy;403;Nitra;4;Nitriansky;2940669;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Zbehy;SK0233500950
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800198;Andovce;503029;Andovce;404;Nové Zámky;4;Nitriansky;10778309;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nové Zámky;SK0234;Andovce;SK0234503029
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800201;Andrejová;519022;Andrejová;701;Bardejov;7;Prešovský;11662554;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Andrejová;SK0411519022
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800210;Svätý Anton;516597;Svätý Anton;602;Banská Štiavnica;6;Banskobystrický;22628422;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Štiavnica;SK0322;Svätý Anton;SK0322516597
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800236;Ardanovce;556220;Ardanovce;406;Topoľčany;4;Nitriansky;6725756;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Topoľčany;SK0236;Ardanovce;SK0236556220
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800252;Ardovo;525537;Ardovo;808;Rožňava;8;Košický;11207585;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Rožňava;SK0428;Ardovo;SK0428525537
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800261;Arnutovce;526363;Arnutovce;810;Spišská Nová Ves;8;Košický;2228054;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Spišská Nová Ves;SK042A;Arnutovce;SK042A526363
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800287;Malý Báb;500046;Báb;403;Nitra;4;Nitriansky;9584982;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Báb;SK0233500046
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800295;Veľký Báb;500046;Báb;403;Nitra;4;Nitriansky;10506051;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Báb;SK0233500046
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800309;Babie;544060;Babie;713;Vranov nad Topľou;7;Prešovský;7998378;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Vranov nad Topľou;SK041D;Babie;SK041D544060
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800317;Babín;509558;Babín;507;Námestovo;5;Žilinský;17393651;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Námestovo;SK0317;Babín;SK0317509558
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800325;Babin Potok;525294;Terňa;707;Prešov;7;Prešovský;4951269;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Prešov;SK0417;Terňa;SK0417525294
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800333;Babiná;518166;Babiná;611;Zvolen;6;Banskobystrický;22170021;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Zvolen;SK032B;Babiná;SK032B518166
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800341;Babindol;581623;Babindol;403;Nitra;4;Nitriansky;5413972;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Babindol;SK0233581623
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800350;Babinec;514489;Babinec;609;Rimavská Sobota;6;Banskobystrický;4913094;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329;Babinec;SK0329514489
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800376;Babkov;517755;Lietavská Svinná-Babkov;511;Žilina;5;Žilinský;8400193;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Žilina;SK031B;Lietavská Svinná-Babkov;SK031B517755
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800384;Bacúch;508446;Bacúch;603;Brezno;6;Banskobystrický;38190647;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Brezno;SK0323;Bacúch;SK0323508446
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800392;Bacúrov;518174;Bacúrov;611;Zvolen;6;Banskobystrický;9602420;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Zvolen;SK032B;Bacúrov;SK032B518174
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800406;Báč;501441;Báč;201;Dunajská Streda;2;Trnavský;3923116;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Dunajská Streda;SK0211;Báč;SK0211501441
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800414;Bačka;528102;Bačka;811;Trebišov;8;Košický;9576699;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Trebišov;SK042B;Bačka;SK042B528102
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800422;Bačkov;528111;Bačkov;811;Trebišov;8;Košický;27675694;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Trebišov;SK042B;Bačkov;SK042B528111
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800431;Bačkovík;521141;Bačkovík;806;Košice - okolie;8;Košický;4179772;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Košice - okolie;SK0426;Bačkovík;SK0426521141
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800457;Báčovce;518425;Hontianske Tesáre;605;Krupina;6;Banskobystrický;3209130;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Krupina;SK0325;Hontianske Tesáre;SK0325518425
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800465;Baďan;516601;Baďan;602;Banská Štiavnica;6;Banskobystrický;8362113;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Štiavnica;SK0322;Baďan;SK0322516601
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800473;Badín;508454;Badín;601;Banská Bystrica;6;Banskobystrický;34389985;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Badín;SK0321508454
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800481;Báhoň;507806;Báhoň;107;Pezinok;1;Bratislavský;10574864;Slovensko;SK0;Bratislavský kraj;SK01;Bratislavský kraj;SK010;Pezinok;SK0107;Báhoň;SK0107507806
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800490;Bajany;522287;Bajany;807;Michalovce;8;Košický;5545722;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Michalovce;SK0427;Bajany;SK0427522287
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800503;Bajč;501034;Bajč;401;Komárno;4;Nitriansky;36475732;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Komárno;SK0231;Bajč;SK0231501034
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800554;Bajerov;524174;Bajerov;707;Prešov;7;Prešovský;6631992;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Prešov;SK0417;Bajerov;SK0417524174
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800562;Bajerovce;524182;Bajerovce;708;Sabinov;7;Prešovský;16112612;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Sabinov;SK0418;Bajerovce;SK0418524182
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800571;Bajka;502049;Bajka;402;Levice;4;Nitriansky;5755095;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Levice;SK0232;Bajka;SK0232502049
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800589;Bajtava;503037;Bajtava;404;Nové Zámky;4;Nitriansky;9329969;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nové Zámky;SK0234;Bajtava;SK0234503037
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800597;Baka;501450;Baka;201;Dunajská Streda;2;Trnavský;19989125;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Dunajská Streda;SK0211;Baka;SK0211501450
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800601;Bakta;514462;Rimavská Sobota;609;Rimavská Sobota;6;Banskobystrický;7299469;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329;Rimavská Sobota;SK0329514462
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800619;Baláže;508471;Baláže;601;Banská Bystrica;6;Banskobystrický;14216159;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Baláže;SK0321508471
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800627;Baldovce;526371;Baldovce;704;Levoča;7;Prešovský;2204013;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Levoča;SK0414;Baldovce;SK0414526371
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800635;Balog nad Ipľom;515868;Balog nad Ipľom;610;Veľký Krtíš;6;Banskobystrický;8350666;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Veľký Krtíš;SK032A;Balog nad Ipľom;SK032A515868
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800643;Baloň;501468;Baloň;201;Dunajská Streda;2;Trnavský;16073223;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Dunajská Streda;SK0211;Baloň;SK0211501468
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800651;Baňa;527114;Baňa;711;Stropkov;7;Prešovský;1912484;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stropkov;SK041B;Baňa;SK041B527114
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800678;Banka;581399;Banka;204;Piešťany;2;Trnavský;8582677;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Piešťany;SK0214;Banka;SK0214581399
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800694;Banky;513962;Diviaky nad Nitricou;307;Prievidza;3;Trenčiansky;2941246;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Prievidza;SK0227;Diviaky nad Nitricou;SK0227513962
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800708;Banky;516643;Banská Štiavnica;602;Banská Štiavnica;6;Banskobystrický;13841957;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Štiavnica;SK0322;Banská Štiavnica;SK0322516643
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800724;Bánov;503045;Bánov;404;Nové Zámky;4;Nitriansky;17885530;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nové Zámky;SK0234;Bánov;SK0234503045
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800732;Malá Kesa;503045;Bánov;404;Nové Zámky;4;Nitriansky;1877168;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nové Zámky;SK0234;Bánov;SK0234503045
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800759;Bánová;517402;Žilina;511;Žilina;5;Žilinský;7960593;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Žilina;SK031B;Žilina;SK031B517402
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800805;Bánovce nad Bebravou;542652;Bánovce nad Bebravou;301;Bánovce nad Bebravou;3;Trenčiansky;13960092;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Bánovce nad Bebravou;SK0221;Bánovce nad Bebravou;SK0221542652
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801011;Bánovce nad Ondavou;522295;Bánovce nad Ondavou;807;Michalovce;8;Košický;12235546;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Michalovce;SK0427;Bánovce nad Ondavou;SK0427522295
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801038;Banská Belá;516627;Banská Belá;602;Banská Štiavnica;6;Banskobystrický;21075772;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Štiavnica;SK0322;Banská Belá;SK0322516627
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801062;Banská Bystrica;508438;Banská Bystrica;601;Banská Bystrica;6;Banskobystrický;14850371;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Banská Bystrica;SK0321508438
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801101;Sásová;508438;Banská Bystrica;601;Banská Bystrica;6;Banskobystrický;6736054;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Banská Bystrica;SK0321508438
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801241;Radvaň;508438;Banská Bystrica;601;Banská Bystrica;6;Banskobystrický;33254897;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Banská Bystrica;SK0321508438
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801283;Podlavice;508438;Banská Bystrica;601;Banská Bystrica;6;Banskobystrický;10383671;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Banská Bystrica;SK0321508438
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801372;Malachov;580244;Malachov;601;Banská Bystrica;6;Banskobystrický;6266455;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Malachov;SK0321580244
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801381;Kremnička;508438;Banská Bystrica;601;Banská Bystrica;6;Banskobystrický;8311822;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Banská Bystrica;SK0321508438
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801402;Šalková;508438;Banská Bystrica;601;Banská Bystrica;6;Banskobystrický;10006302;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Banská Bystrica;SK0321508438
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801411;Senica;508438;Banská Bystrica;601;Banská Bystrica;6;Banskobystrický;2792679;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Banská Bystrica;SK0321508438
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801429;Kynceľová;557277;Kynceľová;601;Banská Bystrica;6;Banskobystrický;1167859;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Kynceľová;SK0321557277
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801437;Nemce;557285;Nemce;601;Banská Bystrica;6;Banskobystrický;4102422;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Nemce;SK0321557285
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801453;Kostiviarska;508438;Banská Bystrica;601;Banská Bystrica;6;Banskobystrický;6891604;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Banská Bystrica;SK0321508438
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801461;Banská Hodruša;516759;Hodruša-Hámre;612;Žarnovica;6;Banskobystrický;24464997;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Žarnovica;SK032C;Hodruša-Hámre;SK032C516759
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801470;Banská Štiavnica;516643;Banská Štiavnica;602;Banská Štiavnica;6;Banskobystrický;32893691;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Štiavnica;SK0322;Banská Štiavnica;SK0322516643
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801640;Banské;544078;Banské;713;Vranov nad Topľou;7;Prešovský;29861439;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Vranov nad Topľou;SK041D;Banské;SK041D544078
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801658;Banský Studenec;516651;Banský Studenec;602;Banská Štiavnica;6;Banskobystrický;19195693;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Štiavnica;SK0322;Banský Studenec;SK0322516651
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801674;Malá Bara;528129;Bara;811;Trebišov;8;Košický;3398436;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Trebišov;SK042B;Bara;SK042B528129
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801682;Veľká Bara;528129;Bara;811;Trebišov;8;Košický;2853753;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Trebišov;SK042B;Bara;SK042B528129
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801691;Barca;514501;Barca;609;Rimavská Sobota;6;Banskobystrický;11502513;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329;Barca;SK0329514501
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801712;Bardejov;519006;Bardejov;701;Bardejov;7;Prešovský;56232635;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Bardejov;SK0411519006
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802077;Bardejovská Nová Ves;519006;Bardejov;701;Bardejov;7;Prešovský;7078902;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Bardejov;SK0411519006
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802093;Bardoňovo;503053;Bardoňovo;404;Nové Zámky;4;Nitriansky;23810439;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nové Zámky;SK0234;Bardoňovo;SK0234503053
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802107;Bartošova Lehôtka;516660;Bartošova Lehôtka;613;Žiar nad Hronom;6;Banskobystrický;8635884;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Žiar nad Hronom;SK032D;Bartošova Lehôtka;SK032D516660
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802115;Bartošovce;519049;Bartošovce;701;Bardejov;7;Prešovský;11231942;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Bartošovce;SK0411519049
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802123;Baška;521159;Baška;806;Košice - okolie;8;Košický;4502714;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Košice - okolie;SK0426;Baška;SK0426521159
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802140;Baškovce;520021;Baškovce;702;Humenné;7;Prešovský;6629585;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Humenné;SK0412;Baškovce;SK0412520021
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802158;Baškovce;522309;Baškovce;809;Sobrance;8;Košický;6214218;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Sobrance;SK0429;Baškovce;SK0429522309
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802166;Bašovce;558354;Bašovce;204;Piešťany;2;Trnavský;4044281;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Piešťany;SK0214;Bašovce;SK0214558354
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802174;Batizovce;523402;Batizovce;706;Poprad;7;Prešovský;14380195;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Poprad;SK0416;Batizovce;SK0416523402
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802191;Bátka;514519;Bátka;609;Rimavská Sobota;6;Banskobystrický;12017790;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329;Bátka;SK0329514519
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802204;Dulovo;557919;Dulovo;609;Rimavská Sobota;6;Banskobystrický;4428888;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329;Dulovo;SK0329557919
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802212;Bátorová;515876;Bátorová;610;Veľký Krtíš;6;Banskobystrický;5942859;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Veľký Krtíš;SK032A;Bátorová;SK032A515876
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802221;Bátovce;502057;Bátovce;402;Levice;4;Nitriansky;25667060;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Levice;SK0232;Bátovce;SK0232502057
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802239;Jalakšová;502057;Bátovce;402;Levice;4;Nitriansky;5960547;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Levice;SK0232;Bátovce;SK0232502057
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802247;Kmeťovce;502219;Drženice;402;Levice;4;Nitriansky;3810213;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Levice;SK0232;Drženice;SK0232502219
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802255;Beckov;505846;Beckov;304;Nové Mesto nad Váhom;3;Trenčiansky;28628764;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Nové Mesto nad Váhom;SK0224;Beckov;SK0224505846
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802263;Beharovce;526380;Beharovce;704;Levoča;7;Prešovský;2649380;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Levoča;SK0414;Beharovce;SK0414526380
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802271;Behynce;505714;Veľké Ripňany;406;Topoľčany;4;Nitriansky;7505870;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Topoľčany;SK0236;Veľké Ripňany;SK0236505714
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802280;Behynce;515612;Tornaľa;608;Revúca;6;Banskobystrický;6215917;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Revúca;SK0328;Tornaľa;SK0328515612
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802298;Becherov;519057;Becherov;701;Bardejov;7;Prešovský;19093099;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Becherov;SK0411519057
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802301;Belá;503061;Belá;404;Nové Zámky;4;Nitriansky;8692344;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nové Zámky;SK0234;Belá;SK0234503061
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802328;Belá;512052;Belá-Dulice;506;Martin;5;Žilinský;48117416;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Martin;SK0316;Belá-Dulice;SK0316512052
